SHIP'S NAME,VESSEL TYPE,WHERE BUILT,YEAR LOST,LOCATION LOST,LATITUDE,LONGITUDE,CONSTRUCTION,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,SHIP VALUE,CARGO VALUE
A M C Smith,Schooner,,1876,Green Island LSS N .25 mi,39.98525,-74.06100,,0,0,0,44.55,,4000.00,0.00
A T Coleman,Schooner,"Talbot City, MD",1901,Atlantic City New Jersey Ave S,39.35920,-74.41495,Wood,76.1,23.4,6.1,66,63,1800.00,800.00
Aberdeen,Bark,"Searsport, ME",1885,Harvey Cedars LSS,39.67529,-74.14656,Wood,112,27.1,17,322,305.72,7000.00,38000.00
Abiel Abbot,Bark,"Boston, MA",1903,Ship Bottom LSS S .5 mi,39.67529,-74.14656,Wood,136,32.5,17,589,560,8000.00,3000.00
Acara,Screw schooner,"Newcastle, England",1902,Jones Inlet - Outer Sand Bar,40.58634,-73.56053,Steel,380,47.3,29,4193,2677,0.00,600000.00
Achille S / Achilles,Brig,,1862,Little Egg LSS E,39.51141,-74.30351,,0,0,0,288,,7000.00,90000.00
Ada F Crosby,Bark,"Calais, ME",1881,Del-Mar-Va E 200 mi,37.50000,-72.33330,Wood,140,32.2,14.8,559.31,,42000.00,3500.00
Addie P McFadden,Schooner,"Bath, ME",1894,Ocean City LSS NW .75 mi,39.28740,-74.55060,,125.2,30.1,8.1,251.8,239.21,14000.00,300.00
Adolphus,Ship,"Green Cove, NS",1886,Delaware Bay The Shears,38.86666,-75.13055,Wood,180,35.5,21.9,1319,,15000.00,5000.00
Adventurer,Charter fishing boat,"Dorchester, NJ",1983,Cape May Inlet SE 12 mi,38.76166,-74.71972,,0,0,0,0,,0.00,0.00
Ajace,Bark,"Voltri, Italy",1881,"Rockaway Shoals, NY",40.54812,-73.92411,Wood,144,32,19,566,,0.00,0.00
Alabama,Schooner,,1846,Squan Inlet S 1 mi,40.09093,-74.03532,,0,0,0,0,,0.00,0.00
Albemarle (1866),Schooner,,1866,Seven Mile Beach,39.06666,-74.73333,,0,0,0,0,,0.00,0.00
Albertine Meyer,Brig,,1884,Barnegat LSS SE .5 mi,39.75437,-74.09606,Wood,102.7,25.3,14.5,266,,10000.00,40000.00
Alert (1901),Sloop,"Brooklyn, NY",1901,Barnegat LSS E 2 mi,39.75767,-74.06601,Wood,86.2,18.1,7.4,69,36,6000.00,0.00
Alexander,Commercial Fishing vessel,"Bayou Le Batre, AL",2008,Great Egg Inlet SE 33 mi,38.94471,-74.14948,Steel,72.1,22,11,113,77,250000.00,0.00
Alexander Gibson,Schooner - Barge,"Thomaston, ME",1915,Cape May McCrie Shoal,38.85122,-74.88267,Wood,247.3,42.6,21.9,2194,1997,0.00,0.00
Alexander II,Commercial Fishing vessel,"Chauvin, LA",2009,Cape May SE 86 mi,38.04944,-73.83595,Steel,75,23,10,120,96,250.00,0.00
Alice (1893),Bark,"Damariscotta, ME",1893,Long Beach LSS S 1.75 mi,39.56096,-74.23477,,170,35,22,977,,15000.00,0.00
Alice Belle,Schooner,"Bath, ME",1896,Ocean City LSS E 1.25 mi,39.28255,-74.53782,,127,32,8,277,264,3500.00,800.00
Alma (1908),Tug steam,"Manchester, VA",1908,Cold Spring LSS E 2.5 mi,38.93246,-74.86049,,49.1,12,5.5,17,6,7500.00,500.00
Almirante,Passenger cargo ship,"Belfast, Ireland",1918,Atlantic City ESE 9 mi,39.35333,-74.19194,Steel,379,50,29,5010,3120,0.00,0.00
Altavela,Schooner,"Searsport, ME",1884,Barnegat LSS ENE 1 mi,39.76123,-74.08515,,102.2,27.6,8.2,183,,3000.00,2000.00
Ambrose Relief #505,Relief Lightship,"Camden, NJ",1960,Ambrose Channel,40.45305,-73.81222,Steel,129,28,14,631,,0.00,0.00
Amelia (1860),Ship,,1860,Great Egg Harbor bar,39.29273,-74.54788,,0,0,9,0,,60000.00,0.00
Amelia P Schmidt (1887),Schooner,"Dennisville, NJ",1887,Cape May LSS S 2 mi,38.92268,-74.97720,,128.9,32.3,8.9,279.93,265.93,30000.00,3200.00
American (1925),Tanker barge,"New York, NY",1925,Absecon Light,39.35295,-74.41231,Steel,0,0,0,836,753,0.00,0.00
Anastasia,Barge,"Jacksonville, FL",1933,Seaside Heights E 9 mi,39.95000,-73.88333,Wood,228.1,37,19.3,1313,,40000.00,0.00
Anderson (1863),Ship,,1863,Absecon Beach,39.36025,-74.41102,,0,0,15,0,,0.00,0.00
Andes (1894),Steamship,"Glasgow, Scotland",1894,Little Egg Harbor S 4 mi,39.58525,-74.06100,Iron,294,32.5,27.1,1869,1197,150000.00,150000.00
Andrea Doria,Passenger liner,"Genoa, Italy",1956,Nantucket Island SE 45 mi,40.49000,-69.85083,Steel,696,88.6,45.4,29100,,0.00,0.00
Andrew H Edwards,Schooner,"Camden, NJ",1888,Island Beach LSS S 1 mi,39.88031,-74.08059,Wood,113,30,8,233.76,222.76,4000.00,0.00
Andrew Jackson (1818),Sailing Ship,,1818,Barnegat,39.75431,-74.08407,Wood,0,0,0,0,,0.00,0.00
Andrew Jackson (1821),Ship,,1821,Barnegat Light,39.60259,-74.20722,Wood,0,0,0,0,,0.00,0.00
Angelina Brewer,Bark,,1864,Pecks Beach,39.23895,-74.61177,,0,0,0,0,,0.00,0.00
Ann Hooper,Schooner - Barge,"Bath, ME",1942,Brigantine Shoal,39.46250,-74.29588,Steel,264.1,44.2,20.5,1900,1680,0.00,0.00
